망장애작업일련번호|망장애작업복구번호|복구소요시간;
10612081400|2785240|1436;
10612081000|2785023|1436;
10612084400|2785405|1434;
10612084600|2785406|1434;
10612082700|2785321|1436;
10612084700|2785579|1434;
10612307300|2784955|453;
10612445100|2784956|4;
10612445100|2784957|4;
10612445100|2785235|4;
10612446600|2785580|3;
10612087900|2785407|1434;
10612087100|2784960|1434;
10612445700|2785581|5;
10612446600|2785582|3;
10612448400|2785583|3;
10612090100|2785024|1434;
10612091200|2785241|1434;
10612446900|2785146|4;
10612307600|2784959|487;
10612091700|2785584|1434;
10612092800|2785408|1434;
10612445900|2785323|5;
10612091800|2784961|1434;
10612092200|2785324|1434;
10612093800|2784962|1434;
10612093000|2785025|1434;
10612092500|2785026|1434;
10612093200|2785495|1434;
10612098900|2785148|1429;
10612102000|2785409|1429;
10612103700|2785585|1429;
10612101400|2785410|1429;
10612103200|2785325|1429;
10612102400|2785028|1429;
10612104300|2785326|1429;
10612104900|2784963|1429;
10612105100|2784964|1429;
10612104700|2785586|1429;
10612105500|2785029|1429;
10612107100|2785151|1429;
10612446700|2785147|6;
10612102200|2785149|1429;
10612458000|2785150|4;
10612106500|2785587|1429;
10612441700|2785588|66;
10612107400|2785152|1429;
10612443900|2785027|13;
10612206900|2784965|1370;
10612451800|2785153|8;
10612456500|2785154|6;
10612456500|2785155|6;
10612451700|2785156|10;
10612116700|2785327|1424;
10612116200|2785030|1424;
10612116600|2785496|1424;
10612121000|2785589|1424;
10612120500|2785412|1424;
10612120900|2785497|1424;
10612455200|2785157|9;
10612451100|2785158|13;
10612130700|2784966|1419;
10612132100|2785159|1419;
10612486400|2785590|2;
10612487100|2785591|2;
10612487000|2785592|3;
10612431900|2785230|194;
10612136300|2785594|1419;
10612136400|2785595|1419;
10612136000|2785498|1419;
10612134900|2785596|1419;
10612459300|2785597|14;
10612138100|2785242|1419;
10612138700|2785328|1419;
10612137500|2785160|1419;
10612140000|2784967|1419;
10612457000|2785598|15;
10612469800|2785599|10;
10612469300|2785600|11;
10612145500|2785329|1414;
10612494100|2785330|5;
5011436259701|2783341|142;
5011436259701|2783199|13;
10612485100|2785601|7;
5011436259701|2783206|143;
10612148000|2785602|1414;
10612146800|2785500|1414;
10612482500|2785603|7;
10612483800|2785604|8;
10612460100|2785605|18;
10612500600|2785606|3;
10612150000|2784970|1414;
10612150500|2785607|1414;
10612151400|2785034|1414;
10612153200|2785243|1414;
10612153700|2785501|1414;
10612154100|2785163|1414;
10612453700|2785608|19;
10612457800|2785609|20;
10612160700|2785244|1409;
10612161900|2785415|1409;
10612467100|2785610|17;
10612470300|2785611|18;
10612164200|2785416|1409;
10612165700|2785245|1409;
10612485300|2785612|13;
5011437133801|2785671|50;
10612481800|2785613|14;
10612168500|2785672|1409;
10612484600|2785614|14;
10612449400|2785502|30;
10612449400|2785503|30;
10612488100|2785615|14;
10612485500|2785616|15;
10612459400|2785504|25;
10612172300|2785331|1409;
10612172600|2785332|1409;
10612483200|2785617|15;
10612446500|2785417|31;
10612487200|2785618|16;
10612517600|2785619|6;
10612460000|2785505|26;
10612485700|2784969|4;
10612525200|2785506|6;
10612517700|2785620|7;
10612485000|2785162|5;
10612461100|2785507|27;
10612461400|2785508|27;
10612181700|2785036|1404;
10612182100|2785246|1404;
10612529500|2785166|3;
10612456800|2785509|28;
9803542|2785418|517;
10612471000|2785510|24;
10612185400|2785673|1404;
10612184300|2785333|1404;
10612186400|2785511|1404;
10612472000|2785512|26;
10612472100|2785513|27;
10612470400|2785514|27;
10612472900|2785515|28;
10612506300|2785516|18;
10612542600|2785621|5;
10612542500|2785168|6;
10612472500|2785517|29;
10612535400|2785518|8;
10612513700|2785035|5;
10612441800|2785571|5;
10612516300|2785420|16;
10612472700|2785520|32;
10612203600|2785625|1391;
10612471900|2785521|33;
10612491400|2785522|28;
10612443800|2785236|20;
10612443800|2785145|20;
10612443800|2785318|20;
10612443800|2785401|20;
10612443800|2785574|20;
10612489200|2785523|29;
10612319800|2784921|9;
10612491600|2785527|30;
10612490200|2785528|31;
10612490500|2785529|31;
10612579800|2785248|5;
10612580200|2785423|5;
10612581000|2785340|5;
10612579700|2785341|5;
10612578800|2785677|5;
10612579500|2785678|5;
10612581100|2785530|5;
10612580700|2785531|5;
10612578900|2785772|5;
10612580900|2785773|5;
10612491700|2785532|32;
10612490400|2785533|33;
10612502700|2785544|28;
5011436953701|2785095|40;
5011436257301|2783424|76;
5011436257301|2783425|75;
5011436259701|2783491|7;
5011436259701|2783495|13;
5011436259701|2783509|145;
5011436259701|2783584|14;
10612445600|2785687|56;
10612502100|2785545|32;
5011436471201|2784014|14;
5011436471201|2784090|14;
10612529400|2785037|5;
5011436535801|2783758|4;
5011436471201|2783237|4;
5011436471201|2783239|9;
5011436471201|2783713|9;
5011436471201|2783716|14;
10612528700|2785546|23;
10612530200|2785549|24;
10612544700|2785550|20;
10612582400|2785783|2;
10612544800|2785039|5;
10612569700|2785552|16;
10612505500|2785167|6;
5011436610201|2783864|4;
10612530300|2785548|24;
10612546700|2785689|21;
10612445500|2785258|61;
5011436632201|2784131|4;
5011436672501|2784322|9;
5011436755101|2784514|18;
5011436740601|2784343|18;
10612582500|2785784|15;
10612582700|2785635|10;
10612567200|2785249|4;
10612567200|2785250|4;
10612567200|2785251|4;
10612567200|2785252|4;
10612567200|2785253|4;
10612567200|2785255|4;
10612567200|2785256|4;
10612567200|2785771|4;
10612567200|2785774|4;
10612567200|2785775|4;
10612567200|2785776|4;
10612567200|2785777|4;
10612567200|2785778|4;
10612567200|2785779|4;
10612567200|2785780|4;
10612567200|2785781|4;
10612567200|2785426|4;
10612567200|2785040|4;
10612567200|2785041|4;
10612567200|2785042|4;
10612567200|2785045|4;
10612567200|2785046|4;
10612567200|2785336|4;
10612567200|2785337|4;
10612567200|2785339|4;
10612567200|2785342|4;
10612567200|2785343|4;
10612567200|2785344|4;
10612567200|2785345|4;
10612567200|2785421|4;
10612567200|2785422|4;
10612567200|2785424|4;
10612567200|2785425|4;
10612567200|2785429|4;
10612567200|2785430|4;
10612567200|2785432|4;
10612567200|2785434|9;
10612567200|2785675|4;
10612567200|2785676|4;
10612567200|2785679|4;
10612567200|2785681|4;
10612567200|2785683|4;
10612567200|2785684|4;
10612567200|2785685|4;
10612567200|2785686|4;
10612567200|2785627|4;
10612567200|2785628|4;
10612567200|2785629|4;
10612567200|2785630|4;
10612567200|2785631|4;
10612567200|2785634|4;
10612567200|2785524|4;
10612567200|2785525|4;
10612567200|2785526|4;
10612567200|2785534|4;
10612567200|2785535|4;
10612567200|2785536|4;
10612567200|2785537|4;
10612567200|2785538|4;
10612567200|2785539|5;
10612567200|2785542|4;
10612567200|2785543|4;
10612544600|2785254|4;
10612544600|2785257|4;
10612544600|2785170|4;
